"","source","target","mor"
"447","USF1","JCHAIN",1
"448","NR5A1","GRIN2C",1
"449","JDP2","POLI",1
"450","UBTF","POLI",1
"451","JUN","THBS1",1
"452","WT1","THBS1",1
"453","SP1","IGFBP4",1
"454","ESR2","PRL",1
"455","NR5A1","CTLA4",1
"456","MYBL2","BCL2",1
"457","ELF2","TEK",1
"458","ELF1","CD4",1
"459","AR","NCOA4",1
"460","NCOA4","AR",1
"461","NR2C2","CYP24A1",-1
"462","TP53","NDN",1
"463","JUND","JUND",1
"464","ZNF571","TRIM28",1
"465","MAX","TP53",1
"466","MYC","TP53",1
"467","TP53","MYC",-1
"468","TP53","NFKB1",1
"469","NFKB1","TP53",1
"470","TP53","RELA",1
"471","RELA","TP53",1
"472","CRX","GRB10",1
"473","JUN","GSC",1
"474","JUN","GHRHR",1
"475","TP63","IL12B",1
"476","NFKBIB","NOS2",1
"477","NR2F2","ALDH2",1
"478","AHR","ALDH3A1",1
"479","OTX2","GRB10",1
"480","HOXC6","NCAM1",1
"481","HR","NCAM1",1
"482","FOXO1","IGFBP1",1
"483","STAT1","CSN2",1
"484","STAT5A","CSN2",1
"485","STAT5B","CSN2",1
"486","GATA4","FGF3",1
"487","IRF1","CCL4",1
"488","IRF8","IRF8",1
"489","IRF8","SAMHD1",1
"490","TP53","PGAM2",1
"491","SPI1","UTRN",1
"492","AHR","CYP1A1",1
"493","PITX2","SIGLEC1",1
"494","NR5A2","CYP7A1",-1
"495","STAT1","SOCS3",1
"496","STAT3","SOCS3",1
"497","POU2F1","IL5",1
"498","YY1","IL5",1
"499","SP1","CCND3",1
"500","RARA","PLAU",1
"501","SP1","PLAU",1
"502","NFYA","NFYA",1
"503","LEF1","MMP7",1
"504","SPI1","BTK",1
"505","SP1","BTK",1
"506","SP3","BTK",1
"507","SP1","SP3",1
"508","SP3","SP1",1
"509","XBP1","EGFR",1
"510","STAT6","IL4",1
"511","STAT6","SELP",1
"512","SREBF1","APOA2",1
"513","SP1","SLC2A1",1
"514","CEBPB","FSHB",1
"515","GATA4","STAR",1
"516","EGR1","MMP12",-1
"517","TCF3","EMC7",1
"518","CEBPG","HP",1
"519","LRRFIP1","PDGFA",-1
"520","EGR1","PDGFA",1
"521","SP1","PDGFA",1
"522","JUN","JUN",1
"523","TP53","IL6",-1
"524","NEUROD1","NEUROD1",1
"525","TCF12","NEUROD1",1
"526","JUN","ABCB1",1
"527","RELA","CD40LG",1
"528","IKZF3","BCL2",1
"529","SP1","ABCC8",1
"530","STAT5A","GH1",1
"531","STAT5A","INS",1
"532","STAT5A","PRL",1
"533","STAT5A","PRLR",1
"534","STAT5B","GH1",1
"535","STAT5B","INS",1
"536","STAT5B","PRL",1
"537","STAT5B","PRLR",1
"538","NFKBIB","PLG",1
"539","E4F1","PVR",1
"540","SP1","CEBPA",-1
"541","CEBPB","SP1",1
"542","SP1","CEBPD",1
"543","CEBPD","SP1",1
"544","GTF2I","BTK",1
"545","NR3C1","BCL2",-1
"546","HOXB1","CD1A",1
"547","STAT6","CREBBP",1
"548","RBPJ","IL6",1
"549","SP1","ODC1",1
"550","SP3","ODC1",-1
"551","JUN","IGFBP1",-1
"552","MYC","ACTB",1
"553","MYC","BRCA1",1
"554","BRCA1","MYC",1
"555","NR5A1","CYP19A1",1
"556","ENO1","IL6",1
"557","XBP1","IL6",-1
"558","ZNF362","NODAL",1
"559","PPARA","VCAM1",-1
"560","ESR1","NRIP1",1
"561","MYC","BIN1",1
"562","MYC","ODC1",1
"563","MYC","PTMA",1
"564","NRF1","CXCR4",1
"565","GATA1","BCL2L1",1
"566","MYCN","NDRG1",1
"567","MYC","NDRG1",-1
"568","MAX","NDRG1",-1
"569","HOXB1","HOXB1",1
"570","PKNOX1","HOXB1",1
"571","NR4A3","IL2",1
"572","NR4A3","IL4",1
"573","NR4A3","ITK",1
"574","NR4A3","CD28",1
"575","TP63","CDKN1A",1
"576","NRG1","PXN",1
"577","SSRP1","MAPK8",1
"578","SSRP1","TRAF1",1
"579","SP1","CYP11A1",1
"580","MAZ","MYC",1
"581","ZNF91","MYC",-1
"582","TBP","ACHE",1
"583","SSRP1","INS",1
"584","ESR1","COMT",1
"585","SPI1","TIMP1",1
"586","POU1F1","GH1",1
"587","NR2C1","HRH1",-1
"588","ATF1","EGR1",1
"589","CREB1","EGR1",1
"590","ATF1","MAP2K2",1
"591","ID3","BMP4",1
"592","ID2","ID3",1
"593","ID3","ID2",1
"594","ERF","CRYAA",1
"595","JUN","CRYAA",1
"596","EGR1","ABCB1",1
"597","ZNF354C","ABCB1",1
"598","WT1","ABCB1",1
"599","USF1","PDX1",1
"600","YY1","CETP",1
"601","SREBF1","CETP",1
"602","EGR1","EGF",1
"603","EGR1","TKT",1
"604","ELF1","FCGRT",-1
"605","ELF1","IGHE",1
"606","GATA1","FCGRT",1
"607","GATA1","IGHE",1
"608","HMGA1","LY6E",1
"609","HMGA2","LY6E",1
"610","POU2F1","LY6E",1
"611","POU2F2","LY6E",1
"612","GATA1","EPB42",1
"613","PHOX2B","PHOX2B",1
"614","PHOX2B","DBH",1
"615","PHOX2B","FOS",1
"616","POU1F1","PRDX6",1
"617","SP1","PRDX6",1
"618","CREB1","MYB",1
"619","SREBF2","KPNB1",1
"620","AHR","CDKN1B",1
"621","EGR1","EGR1",-1
"622","ELF1","LYZ",1
"623","ELF4","LYZ",1
"624","SREBF1","SCD5",1
"625","TP53","GABRA6",1
"626","TP53","TUBB3",1
"627","TTF1","SLC5A5",1
"628","DLX4","GATA1",1
"629","STAT1","CD40",1
"630","NR0B1","STAR",-1
"631","AR","STAR",1
"632","NR1I2","CYP3A4",1
"633","HNF1A","CYP7A1",1
"634","NR1H3","CYP7A1",1
"635","NR2F2","CYP7A1",1
"636","IRF1","TNF",1
"637","MITF","TPSB2",1
"638","STAT5A","HSD3B2",1
"639","MAX","STAT5A",1
"640","CREB1","PRL",1
"641","NCOA1","PRL",1
"642","NR4A1","PRL",1
"643","VDR","PRL",1
"644","NCOR1","MYOD1",1
"645","STAT1","IFNA1",1
"646","WT1","WT1",-1
"647","WT1","BCL2",1
"648","FOS","CLU",-1
"649","FOSL1","CLU",1
"650","JUNB","CLU",1
"651","CREB1","TH",1
"652","JUN","SFTPB",-1
"653","PAX6","UNC5C",1
"654","ASCL1","EHD1",1
"655","MTF2","ACE2",1
"656","CREM","INS",1
"657","CREM","TAF4",1
"658","TBP","INS",1
"659","SREBF1","PPARG",1
"660","PPARG","SREBF1",1
"661","PPARG","SREBF2",-1
"662","SREBF2","PPARG",1
"663","ESR1","CKB",1
"664","ESR2","OXT",1
"665","PAX3","PAX3",1
"666","PAX3","PDGFRA",-1
"667","CEBPG","HPN",1
"668","SP1","HPN",1
"669","TFAP2A","HPN",1
"670","SP1","ABCB1",1
"671","YBX1","ABCB1",1
"672","JUN","SPI1",1
"673","SPI1","JUN",1
"674","USF1","SPP1",1
"675","HIF1A","VEGFA",1
"676","SMAD4","CDKN1A",1
"677","PDX1","S100G",1
"678","VDR","S100G",1
"679","DNMT1","CFTR",1
"680","KLF5","MYH10",1
"681","KLF5","GZMA",1
"682","ESR1","C3",1
"683","NR3C1","CSN2",1
"684","NR3C2","CSN2",1
"685","PGR","CSN2",-1
"686","EGR1","TNF",1
"687","TBP","SNAP25",1
"688","IRF1","IL18",1
"689","STAT5A","IL4",1
"690","STAT5B","IL4",1
"691","SP1","FN1",1
"692","DLX4","SPMAP2",1
"693","ZBTB12","SPMAP2",1
"694","DLX4","FN1",1
"695","FOS","FN1",1
"696","JUN","FN1",1
"697","MYC","FN1",-1
"698","ZBTB12","FN1",1
"699","PPARG","FABP4",1
"700","PDX1","PRKCG",1
"701","PDX1","PSMA5",1
"702","STAT5A","BCL2L1",1
"703","SP1","LEP",1
"704","STAT5A","OSM",1
"705","EGR1","MMP14",1
"706","ESR1","SPP1",1
"707","ESR2","SPP1",1
"708","MYRF","COL5A2",1
"709","PPARG","CD36",1
"710","POU2F2","TGFA",1
"711","PDX1","GFAP",1
"712","STAT1","PTGS2",1
"713","STAT5A","PTGS2",1
"714","SSRP1","HES1",1
"715","SSRP1","HES5",1
"716","SSRP1","NOTCH3",1
"717","CEBPB","IL6",1
"718","TP53","PVR",1
"719","PAX5","CD79A",1
"720","PAX5","RAG2",1
