"","ligand","receptor","pair","ligand_gene_id","receptor_gene_id"
"1704","Sfrp1","Fzd2","SFRP1_FZD2","ENSMUSG00000031548","ENSMUSG00000050288"
"1705","Sfrp1","Fzd6","SFRP1_FZD6","ENSMUSG00000031548","ENSMUSG00000022297"
"1706","Sftpd","Ly96","SFTPD_LY96","ENSMUSG00000021795","ENSMUSG00000025779"
"1707","Sftpd","Tlr4","SFTPD_TLR4","ENSMUSG00000021795","ENSMUSG00000039005"
"1708","Shank1","Abca1","SHANK1_ABCA1","ENSMUSG00000038738","ENSMUSG00000015243"
"1709","Shank1","Sstr2","SHANK1_SSTR2","ENSMUSG00000038738","ENSMUSG00000047904"
"1710","Shbg","Cd177","SHBG_CD177","ENSMUSG00000005202","ENSMUSG00000052212"
"1711","Shbg","Cldn4","SHBG_CLDN4","ENSMUSG00000005202","ENSMUSG00000047501"
"1712","Shbg","Slc37a1","SHBG_SLC37A1","ENSMUSG00000005202","ENSMUSG00000024036"
"1713","Shh","Boc","SHH_BOC","ENSMUSG00000002633","ENSMUSG00000022687"
"1714","Shh","Cdon","SHH_CDON","ENSMUSG00000002633","ENSMUSG00000038119"
"1715","Shh","Gpc5","SHH_GPC5","ENSMUSG00000002633","ENSMUSG00000022112"
"1716","Shh","Hhip","SHH_HHIP","ENSMUSG00000002633","ENSMUSG00000064325"
"1717","Shh","Lrp2","SHH_LRP2","ENSMUSG00000002633","ENSMUSG00000027070"
"1718","Shh","Ptch1","SHH_PTCH1","ENSMUSG00000002633","ENSMUSG00000021466"
"1719","Shh","Ptch2","SHH_PTCH2","ENSMUSG00000002633","ENSMUSG00000028681"
"1720","Shh","Smo","SHH_SMO","ENSMUSG00000002633","ENSMUSG00000001761"
"1721","Slit1","Gpc1","SLIT1_GPC1","ENSMUSG00000025020","ENSMUSG00000034220"
"1722","Slit1","Robo1","SLIT1_ROBO1","ENSMUSG00000025020","ENSMUSG00000022883"
"1723","Slit1","Sdc1","SLIT1_SDC1","ENSMUSG00000025020","ENSMUSG00000020592"
"1724","Slit2","Dcc","SLIT2_DCC","ENSMUSG00000031558","ENSMUSG00000060534"
"1725","Slit2","Gpc1","SLIT2_GPC1","ENSMUSG00000031558","ENSMUSG00000034220"
