"","ligand","receptor","Ligand.receptor.pair","Source","PMID.support","Ligand.HGNC.ID","Ligand.location","Receptor.HGNC.ID","HGNC.L.R","secondary.source."
"1212","IFNA8","IFNAR2","IFNA8 IFNAR2","Ramilowski_2015_Literature_supported","8969169,","HGNC:5429","secreted","HGNC:5433","HGNC:5429 HGNC:5433",""
"1213","IFNB1","IFNAR1","IFNB1 IFNAR1","Ramilowski_2015_Literature_supported","11278538,1834641,","HGNC:5434","secreted","HGNC:5432","HGNC:5434 HGNC:5432",""
"1214","IFNB1","IFNAR2","IFNB1 IFNAR2","Ramilowski_2015_Literature_supported","11278538,10395669,","HGNC:5434","secreted","HGNC:5433","HGNC:5434 HGNC:5433",""
"1215","IFNE","IFNAR1","IFNE IFNAR1","Hou et al. 2020 (this publication)","22410872,","HGNC:18163","secreted","HGNC:5432","HGNC:18163 HGNC:5432",""
"1216","IFNE","IFNAR2","IFNE IFNAR2","Hou et al. 2020 (this publication)","22410872,","HGNC:18163","secreted","HGNC:5433","HGNC:18163 HGNC:5433",""
"1217","IFNG","IFNGR1","IFNG IFNGR1","Ramilowski_2015_Literature_supported","10811850,12165521, 10986460, 11250200,","HGNC:5438","secreted","HGNC:5439","HGNC:5438 HGNC:5439",""
"1218","IFNG","IFNGR2","IFNG IFNGR2","Ramilowski_2015_Literature_supported","10811850,7673114,","HGNC:5438","secreted","HGNC:5440","HGNC:5438 HGNC:5440",""
"1219","IFNK","IFNAR1","IFNK IFNAR1","Hou et al. 2020 (this publication)","22410872,","HGNC:21714","secreted","HGNC:5432","HGNC:21714 HGNC:5432",""
"1220","IFNK","IFNAR2","IFNK IFNAR2","Hou et al. 2020 (this publication)","22410872,","HGNC:21714","secreted","HGNC:5433","HGNC:21714 HGNC:5433",""
"1221","IFNL1","IFNLR1","IFNL1 IFNLR1","Ramilowski_2015_Literature_supported","12974481,12469119,","HGNC:18363","secreted","HGNC:18584","HGNC:18363 HGNC:18584",""
"1222","IFNL1","IL10RB","IFNL1 IL10RB","Ramilowski_2015_Literature_supported","12974481,","HGNC:18363","secreted","HGNC:5965","HGNC:18363 HGNC:5965",""
"1223","IFNL2","IFNLR1","IFNL2 IFNLR1","Ramilowski_2015_Literature_supported","12974481,12469119,","HGNC:18364","secreted","HGNC:18584","HGNC:18364 HGNC:18584",""
"1224","IFNL2","IL10RB","IFNL2 IL10RB","Ramilowski_2015_Literature_supported","12974481,12469119,","HGNC:18364","secreted","HGNC:5965","HGNC:18364 HGNC:5965",""
"1225","IFNL3","IFNLR1","IFNL3 IFNLR1","Ramilowski_2015_Literature_supported","12974481,","HGNC:18365","secreted","HGNC:18584","HGNC:18365 HGNC:18584",""
"1226","IFNL3","IL10RB","IFNL3 IL10RB","Ramilowski_2015_Literature_supported","12974481,12469119,","HGNC:18365","secreted","HGNC:5965","HGNC:18365 HGNC:5965",""
"1227","IFNL4","IFNLR1","IFNL4 IFNLR1","Hou et al. 2020 (this publication)","26134097,","HGNC:44480","secreted","HGNC:18584","HGNC:44480 HGNC:18584",""
"1228","IFNL4","IL10RB","IFNL4 IL10RB","Hou et al. 2020 (this publication)","26134097,","HGNC:44480","secreted","HGNC:5965","HGNC:44480 HGNC:5965",""
"1229","IFNW1","IFNAR1","IFNW1 IFNAR1","Ramilowski_2015_Literature_supported","11278538,1834641,","HGNC:5448","secreted","HGNC:5432","HGNC:5448 HGNC:5432",""
"1230","IFNW1","IFNAR2","IFNW1 IFNAR2","Ramilowski_2015_Literature_supported","11278538,","HGNC:5448","secreted","HGNC:5433","HGNC:5448 HGNC:5433",""
"1231","IGF1","IGF1R","IGF1 IGF1R","Ramilowski_2015_Literature_supported","2877871,1852007,","HGNC:5464","secreted","HGNC:5465","HGNC:5464 HGNC:5465","CellphoneDB_flipped"
"1232","IGF2","IGF1R","IGF2 IGF1R","Ramilowski_2015_Literature_supported","9972281,","HGNC:5466","secreted","HGNC:5465","HGNC:5466 HGNC:5465","CellphoneDB_flipped"
"1233","IGF2","IGF2R","IGF2 IGF2R","Ramilowski_2015_Literature_supported","2964083,7797478, 9722981,","HGNC:5466","secreted","HGNC:5467","HGNC:5466 HGNC:5467","CellphoneDB"
"1234","IGF2","INSR","IGF2 INSR","Ramilowski_2015_Literature_supported","9281335,9722981,","HGNC:5466","secreted","HGNC:6091","HGNC:5466 HGNC:6091",""
"1235","IGFBP4","FZD8","IGFBP4 FZD8","Ramilowski_2015_Literature_supported","18528331,","HGNC:5473","secreted","HGNC:4046","HGNC:5473 HGNC:4046",""
"1236","IGFBP4","LRP6","IGFBP4 LRP6","Ramilowski_2015_Literature_supported","18528331,","HGNC:5473","secreted","HGNC:6698","HGNC:5473 HGNC:6698",""
"1237","IGFL1","IGFLR1","IGFL1 IGFLR1","Ramilowski_2015_Literature_supported","21454693,","HGNC:24093","secreted","HGNC:23620","HGNC:24093 HGNC:23620","CellphoneDB_flipped"
