"","ligand","receptor"
"284","Adam23","Itgb3"
"285","Lgi1","Adam23"
"286","Lgi2","Adam23"
"287","Lgi3","Adam23"
"288","Lgi4","Adam23"
"289","Adam28","Itga4"
"290","Adam29","Itga4"
"291","Adam2","Cd9"
"292","Adam2","Itga6"
"293","Adam2","Itga9"
"294","Adam2","Itgb1"
"295","Adam2","Itgb7"
"296","Adam3","Cd9"
"297","Adam7","Itga4"
"298","Adam7","Itgb7"
"299","Adam9","Itga3"
"300","Adam9","Itga6"
"301","Adam9","Itgav"
"302","Adam9","Itgb1"
"303","Adam9","Itgb5"
"304","Adamts3","Ccbe1"
"305","Adcyap1","Adcyap1r1"
"306","Adcyap1","Adrb2"
"307","Adcyap1","Adrb3"
"308","Adcyap1","Dpp4"
"309","Adcyap1","Gpr20"
"310","Adcyap1","Pth1r"
"311","Adcyap1","Ramp2"
"312","Adcyap1","Ramp3"
"313","Adcyap1","Sctr"
"314","Adcyap1","Tshr"
"315","Adcyap1","Vipr1"
"316","Adcyap1","Vipr2"
"317","Adm","Adcyap1r1"
"318","Adm2","Adcyap1r1"
"319","Avp","Adcyap1r1"
"320","Calca","Adcyap1r1"
"321","Calcb","Adcyap1r1"
"322","Cga","Adcyap1r1"
"323","Crh","Adcyap1r1"
"324","Fshb","Adcyap1r1"
"325","Gcg","Adcyap1r1"
"326","Ghrh","Adcyap1r1"
"327","Gip","Adcyap1r1"
"328","Iapp","Adcyap1r1"
"329","Nps","Adcyap1r1"
"330","Pomc","Adcyap1r1"
"331","Pth","Adcyap1r1"
"332","Pth2","Adcyap1r1"
"333","Pthlh","Adcyap1r1"
"334","Rln1","Adcyap1r1"
"335","Rln3","Adcyap1r1"
"336","Sct","Adcyap1r1"
"337","Tshb","Adcyap1r1"
"338","Vip","Adcyap1r1"
"339","Wnt7a","Adgra2"
"340","Wnt7b","Adgra2"
"341","Adgrb1","Rtn4r"
"342","Adgrb1","Rtn4rl1"
"343","Adgrb1","Rtn4rl2"
"344","Shank1","Adgrb2"
"345","Cd55","Adgre5"
"346","Adgre5","Cd55b"
"347","Tgm2","Adgrg1"
"348","Fam3c","Adgrg5"
"349","Tnfsf9","Adgrg5"
"350","Nrg1","Adgrl1"
"351","Shank1","Adgrl1"
"352","Shank1","Adgrl2"
"353","Edn1","Adgrl4"
"354","Gpha2","Adgrv1"
"355","Ifne","Adgrv1"
"356","Pdgfb","Adgrv1"
"357","Xcl1","Adgrv1"
"358","Adipoq","Adipor1"
"359","Adipoq","Adipor2"
"360","Adipoq","Asgr2"
"361","Adipoq","Cd200r1"
"362","Adipoq","Clec2d"
"363","Adipoq","Cnr2"
"364","Adipoq","Ffar3"
"365","Adipoq","Gpr152"
"366","Adipoq","Prokr2"
"367","Adm2","Adrb2"
"368","Adm2","Adrb3"
"369","Adm2","Calcr"
"370","Adm2","Calcrl"
"371","Adm2","Gpr20"
"372","Adm2","Pth1r"
"373","Adm2","Ramp1"
"374","Adm2","Ramp2"
"375","Adm2","Ramp3"
"376","Adm2","Tshr"
"377","Adm2","Vipr1"
"378","Adm","Adrb2"
"379","Adm","Adrb3"
"380","Adm","Calcr"
"381","Adm","Calcrl"
"382","Adm","Gpr182"
"383","Adm","Gpr20"
"384","Adm","Mrgprx2"
"385","Adm","Pth1r"
"386","Adm","Ramp2"
"387","Adm","Ramp3"
"388","Adm","Tshr"
"389","Adm","Vipr1"
"390","Entpd1","Adora1"
"391","Entpd1","Adora2a"
"392","Nampt","Adora2a"
"393","Entpd1","Adora2b"
"394","Ntn1","Adora2b"
"395","Entpd1","Adora3"
"396","Agt","Adra2a"
"397","Anxa1","Adra2a"
"398","Apln","Adra2a"
"399","App","Adra2a"
"400","C3","Adra2a"
"401","Ccl19","Adra2a"
"402","Ccl20","Adra2a"
"403","Ccl21d","Adra2a"
"404","Ccl27b","Adra2a"
"405","Ccl28","Adra2a"
"406","Ccl9","Adra2a"
"407","Cort","Adra2a"
"408","Cxcl10","Adra2a"
"409","Cxcl11","Adra2a"
"410","Cxcl12","Adra2a"
"411","Cxcl13","Adra2a"
"412","Cxcl5","Adra2a"
"413","Cxcl9","Adra2a"
"414","Gal","Adra2a"
"415","Hc","Adra2a"
"416","Hebp1","Adra2a"
"417","Insl5","Adra2a"
"418","Kng1","Adra2a"
"419","Nms","Adra2a"
"420","Nmu","Adra2a"
"421","Npw","Adra2a"
"422","Npy","Adra2a"
"423","Pdyn","Adra2a"
"424","Penk","Adra2a"
"425","Pmch","Adra2a"
"426","Pnoc","Adra2a"
"427","Pomc","Adra2a"
