"","ligand","receptor"
"366","ADM2","ADRB2"
"367","ADM2","ADRB3"
"368","ADM2","CALCR"
"369","ADM2","CALCRL"
"370","ADM2","GPR20"
"371","ADM2","GPR84"
"372","ADM2","PTH1R"
"373","ADM2","RAMP1"
"374","ADM2","RAMP2"
"375","ADM2","RAMP3"
"376","ADM2","TSHR"
"377","ADM2","VIPR1"
"378","ADM","ADRB2"
"379","ADM","ADRB3"
"380","ADM","CALCR"
"381","ADM","CALCRL"
"382","ADM","GPR182"
"383","ADM","GPR20"
"384","ADM","GPR84"
"385","ADM","MRGPRX2"
"386","ADM","PTH1R"
"387","ADM","RAMP1"
"388","ADM","RAMP2"
"389","ADM","RAMP3"
"390","ADM","TSHR"
"391","ADM","VIPR1"
"392","ENTPD1","ADORA1"
"393","ENTPD1","ADORA2A"
"394","NAMPT","ADORA2A"
"395","ENTPD1","ADORA2B"
"396","NTN1","ADORA2B"
"397","ENTPD1","ADORA3"
"398","AGT","ADRA2A"
"399","ANXA1","ADRA2A"
"400","APLN","ADRA2A"
"401","APP","ADRA2A"
"402","C3","ADRA2A"
"403","C5","ADRA2A"
"404","CCL16","ADRA2A"
"405","CCL19","ADRA2A"
"406","CCL20","ADRA2A"
"407","CCL21","ADRA2A"
"408","CCL23","ADRA2A"
"409","CCL25","ADRA2A"
"410","CCL27","ADRA2A"
"411","CCL28","ADRA2A"
"412","CCL5","ADRA2A"
"413","CORT","ADRA2A"
"414","CXCL1","ADRA2A"
"415","CXCL10","ADRA2A"
"416","CXCL11","ADRA2A"
"417","CXCL12","ADRA2A"
"418","CXCL13","ADRA2A"
"419","CXCL16","ADRA2A"
"420","CXCL2","ADRA2A"
"421","CXCL3","ADRA2A"
"422","CXCL5","ADRA2A"
"423","CXCL6","ADRA2A"
"424","CXCL8","ADRA2A"
"425","CXCL9","ADRA2A"
"426","GAL","ADRA2A"
"427","HEBP1","ADRA2A"
"428","INSL5","ADRA2A"
"429","KNG1","ADRA2A"
"430","MT-RNR2","ADRA2A"
"431","NMS","ADRA2A"
"432","NMU","ADRA2A"
"433","NPB","ADRA2A"
"434","NPW","ADRA2A"
"435","NPY","ADRA2A"
"436","PDYN","ADRA2A"
"437","PENK","ADRA2A"
"438","PF4","ADRA2A"
"439","PMCH","ADRA2A"
"440","PNOC","ADRA2A"
"441","POMC","ADRA2A"
"442","PPBP","ADRA2A"
"443","PPY","ADRA2A"
"444","PYY","ADRA2A"
"445","RLN3","ADRA2A"
"446","SAA1","ADRA2A"
"447","SST","ADRA2A"
"448","APOB","ADRB2"
"449","AVP","ADRB2"
"450","CALCA","ADRB2"
"451","CALCB","ADRB2"
"452","CGA","ADRB2"
"453","CRH","ADRB2"
"454","EGF","ADRB2"
"455","FSHB","ADRB2"
"456","GCG","ADRB2"
"457","GHRH","ADRB2"
"458","GIP","ADRB2"
"459","IAPP","ADRB2"
"460","IL1B","ADRB2"
"461","INSL3","ADRB2"
"462","LHB","ADRB2"
"463","NPS","ADRB2"
"464","POMC","ADRB2"
"465","PTH","ADRB2"
"466","PTH2","ADRB2"
"467","PTHLH","ADRB2"
"468","RLN2","ADRB2"
"469","RLN3","ADRB2"
"470","RPS27A","ADRB2"
"471","SCT","ADRB2"
"472","TF","ADRB2"
"473","TSHB","ADRB2"
"474","VEGFB","ADRB2"
"475","VIP","ADRB2"
"476","WNT5A","ADRB2"
"477","AVP","ADRB3"
"478","CALCA","ADRB3"
"479","CALCB","ADRB3"
"480","CGA","ADRB3"
"481","CRH","ADRB3"
"482","FSHB","ADRB3"
"483","GCG","ADRB3"
"484","GHRH","ADRB3"
"485","GIP","ADRB3"
"486","IAPP","ADRB3"
"487","INSL3","ADRB3"
"488","LHB","ADRB3"
"489","NPS","ADRB3"
"490","POMC","ADRB3"
"491","PTH","ADRB3"
"492","PTH2","ADRB3"
"493","PTHLH","ADRB3"
"494","RLN2","ADRB3"
"495","RLN3","ADRB3"
"496","SCT","ADRB3"
"497","TSHB","ADRB3"
"498","VIP","ADRB3"
"499","AFDN","EPHA7"
"500","AFDN","EPHB2"
"501","AFDN","EPHB3"
"502","AFDN","EPHB6"
"503","AFDN","F11R"
"504","AFDN","NECTIN1"
"505","AFDN","NECTIN2"
"506","AFDN","NECTIN3"
"507","AFDN","NECTIN4"
"508","AFDN","NRXN2"
"509","AFDN","NRXN3"
"510","APP","AGER"
"511","HMGB1","AGER"
